source,target
Hiring and firing practices," General economic, commercial and labour affairs"
Effect of taxation on incentives to work," General economic, commercial and labour affairs"
Pay and productivity," General economic, commercial and labour affairs"
Reliance on professional management, Economic affairs n.e.c.
Financial services meeting business needs, Economic affairs n.e.c.
Affordability of financial services, Economic affairs n.e.c.
Financing through local equity market, Economic affairs n.e.c.
Ease of access to loans, Economic affairs n.e.c.
Venture capital availability, Economic affairs n.e.c.
Soundness of banks, Public order and safety n.e.c.
Regulation of securities exchanges, Public order and safety n.e.c.
Availability of latest technologies, R&D Economic affairs
Firm-level technology absorption, R&D Economic affairs
FDI and technology transfer, R&D Public order and safety
Local supplier quantity, Economic affairs n.e.c.
Local supplier quality, Economic affairs n.e.c.
State of cluster development, Basic research
Nature of competitive advantage, Economic affairs n.e.c.
Value chain breadth, Economic affairs n.e.c.
Control of international distribution, Economic affairs n.e.c.
Production process sophistication, R&D Economic affairs
Extent of marketing, Economic affairs n.e.c.
Willingness to delegate authority, Economic affairs n.e.c.
Capacity for innovation, R&D Economic affairs
Quality of scientific research institutions, R&D Economic affairs
Company spending on R&D, R&D Economic affairs
University-industry collaboration in R&D, R&D Economic affairs
Government procurement of advanced technology products, R&D Economic affairs
Availability of scientists and engineers, R&D Economic affairs
[Gross Enrolment Rate at ECED/Pre-Primary Level], Pre-primary and primary education
[Net Enrolment Rate at Grade 11-12], Post-secondary non-tertiary education
Starting a Business - Procedure – Men (number)," General economic, commercial and labour affairs"
Starting a Business - Procedure – Women (number)," General economic, commercial and labour affairs"
[Direct Tax Rates],Economic affairs n.e.c.
[Indirect Tax Rates],Economic affairs n.e.c.
Items being imported, Economic affairs n.e.c.
Paying Taxes - Rank," General economic, commercial and labour affairs"
Paying Taxes - Postfiling index (0-100)," General economic, commercial and labour affairs"
Paying Taxes - DTF," General economic, commercial and labour affairs"
Paying Taxes - Payments (number per year)," General economic, commercial and labour affairs"
Paying Taxes - Time (hours per year)," General economic, commercial and labour affairs"
Paying Taxes - Total tax rate (% of profit)," General economic, commercial and labour affairs"
Paying Taxes - Profit tax (% of profit)," General economic, commercial and labour affairs"
Paying Taxes - Labor tax and contributions (% of profit)," General economic, commercial and labour affairs"
Paying Taxes - Other taxes (% of profit)," General economic, commercial and labour affairs"
Paying Taxes - Administrative appeal process," General economic, commercial and labour affairs"
Getting Credit - Strength of legal rights index (0-12)," General economic, commercial and labour affairs"
Starting a Business - Rank," General economic, commercial and labour affairs"
Starting a Business - Time – Men (days)," General economic, commercial and labour affairs"
Starting a Business - Cost – Men (% of income per capita)," General economic, commercial and labour affairs"
Starting a Business - Time – Women (days)," General economic, commercial and labour affairs"
Starting a Business - Cost – Women (% of income per capita)," General economic, commercial and labour affairs"
Starting a Business - Paid-in min. capital (% of income per capita)," General economic, commercial and labour affairs"
Dealing with Construction Permits - Rank," Mining, manufacturing and construction"
Dealing with Construction Permits - DTF," Mining, manufacturing and construction"
Dealing with Construction Permits - Procedures (number)," Mining, manufacturing and construction"
Dealing with Construction Permits - Time (days)," Mining, manufacturing and construction"
Dealing with Construction Permits - Cost (% of warehouse value)," Mining, manufacturing and construction"
Dealing with Construction Permits - Building quality control index (0-15)," Mining, manufacturing and construction"
Dealing with Construction Permits - Quality of building regulations index (0-2)," Mining, manufacturing and construction"
Dealing with Construction Permits - Quality control before construction index (0-1)," Mining, manufacturing and construction"
Dealing with Construction Permits - Quality control during construction index (0-3)," Mining, manufacturing and construction"
Dealing with Construction Permits - Quality control after construction index (0-3)," Mining, manufacturing and construction"
Dealing with Construction Permits - Liability and insurance regimes index (0-2)," Mining, manufacturing and construction"
Dealing with Construction Permits - Professional certifications index (0-4)," Mining, manufacturing and construction"
Getting Electricity - Rank, Fuel and energy
Getting Electricity - DTF, Fuel and energy
Getting Electricity - Procedures (number), Fuel and energy
Getting Electricity - Time (days), Fuel and energy
Getting Electricity - Cost (% of income per capita), Fuel and energy
Getting Electricity - Reliability of supply and transparency of tariff index (0-8), Fuel and energy
Getting Electricity - Total duration and frequency of outages per customer a year (0-3), Fuel and energy
Getting Electricity - Mechanisms for monitoring outages (0-1), Fuel and energy
Getting Electricity - Mechanisms for restoring service (0-1), Fuel and energy
Getting Electricity - Regulatory monitoring (0-1), Fuel and energy
Getting Electricity - Financial deterrents aimed at limiting outages (0-1), Fuel and energy
Getting Electricity - Communication of tariffs and tariff changes (0-1), Fuel and energy
Getting Electricity - Price of electricity (US cents per kWh), Fuel and energy
Registering Property - Rank," General economic, commercial and labour affairs"
Registering Property - DTF," General economic, commercial and labour affairs"
Registering Property - Procedures (number)," General economic, commercial and labour affairs"
Registering Property - Time (days)," General economic, commercial and labour affairs"
Registering Property - Cost (% of property value)," General economic, commercial and labour affairs"
