Recipient Organization,recipientcodename,
Association Agropastorale de NDA,NGOs,
Association Centrafricaine pour le Développement Economique et Social,NGOs,
Association des Cadres Musulmans de Centrafrique,NGOs,
Association des Femmes pour la Promotion de l'Entreprenariat,NGOs,
Association for Integrated Rural Development,NGOs,
Association HIMAYA,NGOs,
Association LRC,other,
Association Medina,NGOs,
Associazione Internazionale Volontari Laici,NGOs,
Atlasalliansen,NGOs,
Basmeh and Zeitooneh - Lebanese Association,NGOs,
Brigadas Internacionales de Paz,NGOs,
Care for Children and Old Age in South Sudan,NGOs,
Caribbean Disaster Emergency Management Agency,Other multi,
Caritas Chad,NGOs,
Centre Libanais des Droits Humains,NGOs,
Centro de Estudios Rurales y de Agricultura Internacional,NGOs,
Christian Children's Fund of Canada,NGOs,
Community Development Association,NGOs,
Community in Need Aid,NGOs,
Development Fund,NGOs,
DIGNI,NGOs,
Dominica Red Cross Society,NGOs,
Duhok Organization for Volunteer Youth,NGOs,
EducAid Onlus,NGOs,
Education Health Social Awareness and Rehabilitation,NGOs,
Estonian Refugee Council,NGOs,
European Meeting Centre - Nowy Staw Foundation,foundations,
Evangelisches Werk für Diakonie und Entwicklung e.V.,NGOs,
Famine Early Warning Sytem,academia/think/research,
Fangak Community Development Initiative,NGOs,
Fashoda Youth Forum,NGOs,
Foyer des Jeunes de Morne l'Hopital,NGOs,
Friends of Children Society,NGOs,
Friendship Luxembourg,NGOs,
"FUNDACION ALIANZA POR LOS DERECHOS, LA IGUALD Y LA SOLIDARIDAD INTERNACIONAL",NGOs,
Fundación Ojos del Mundo,NGOs,
Fundación Plan,NGOs,
GFZ German Research Centre,academia/think/research,
Global Family,NGOs,
Health Equity Initiatives Sdn Bhd,NGOs,
Heifer International,NGOs,
Hujra Village Support Organization,NGOs,
Humanitarian Quality Assurance Initiative,NGOs,
IHRA,Other multi,
Impact Health Organization,NGOs,
"Institute for Development, Research, Advocacy and Applied Care",NGOs,
Interchurch Medical Assistance World Health,NGOs,
International Eurasia Press Fund,NGOs,
IsraAID,NGOs,
Japan Campaign for children of Palestine,NGOs,
Japan International Volunteer Center,NGOs,
Japan Platform,other,
Joint Aid Management International,NGOs,
Jordanian National Commission for Women,National government,
Kachin Baptist Convention,NGOs,
Khwendo Kor,NGOs,
Labena Organization for Women Development Aid Capacity Building,NGOs,
MADAD FUND,EC,
Makhzoumi Foundation,NGOs,
Manos Unidas,NGOs,
Mena Organization for Services Advocacy integration and Capacity Building,NGOs,
Ministry of Education and Higher Education,National government,
Monastery Saint James the Mutilated,NGOs,
Myanmar Health Assistant Association,NGOs,
Myanmar Heart Development Organization,NGOs,
National Demining Units Organization,NGOs,
NGO Free Ukraine,NGOs,
NGO Ukrainian Cultural Center,NGOs,
Norwegian Capacity,NGOs,
Nova - Centre per la Innovació Social / NOVACT,NGOs,
One Step Further,NGOs,
Organization for Research and Community Development,NGOs,
Organization for Voluntary Humanitarian Assistance Programme,NGOs,
OVERSEAS-Onlus,NGOs,
Oxfam Intermon,NGOs,
Oxfam/Community Aid Abroad/Intermon/Novib,NGOs,
Parlement des Jeunes Rwandais,NGOs,
Pearl of Africa Environment,NGOs,
People Empowerment & Consulting Enterprise,NGOs,
Person in Need Relief Mission,NGOs,
Professionals in Humanitarian Assistance and Protection,NGOs,
Real Medicine Foundation,foundations,
Rebuild Iraq Recruitment Program,NGOs,
Reform Society,other,
Rehabilitation Education And Community Health,NGOs,
Relief and Humanitarian Aid Organisation in Dar al Fatwa,NGOs,
Rural Community Action for Peace and Development,NGOs,
Rural Development Initiative South Sudan,NGOs,
Save Youth Future Society,NGOs,
Secretariado Diocesano de Pastoral Social,NGOs,
Society for Human and Environmental Development,NGOs,
Somalia Resilience Program,NGOs,
Standard Alliance,NGOs,
Sudanese Organization for Rehabilitation and Construction,NGOs,
Support Agency for Rural and Human Association’s Development,NGOs,
Support to Life,NGOs,
Sustainable Development and Peace Building Initiatives,NGOs,
Tahaddi & Apprentis d'Auteuils,NGOs,
Tajik Aid,NGOs,
The National Institution of Social Care and Vocational Training,NGOs,
Triyog Trust NZ,NGOS,
Turath Organization for Human Development,NGOs,
U.S. Forest Service,DAC governments,
UN Department of Economic and Social Affairs,UN Multi,
UN Women,UN Multi,
United Nations Global Pulse,UN Multi,
United Nations Voluntary Fund for Trafficking in Person,UN Multi,
Vetwork Services Trust,other,
Wethaq Foundation for Civil Orientation,NGOs,
Women Now for Development,NGOs,
World Vision Vanuatu,NGOs,
Yemeni Social Reform Society,other,
Young Men’s Christian Association,NGOs,
Allocation of unearmarked funds by UN Women,UN Multi,
ASYA SAR - KYM,NGOs,
Chad,National government,
ECHO DFID contribution,DAC governments,
IDeA Foundation,foundations,
Livelihoods and Food Security Trust Fund,UN Multi,
Saint Kitts and Nevis,National government,
Three Millennium Development Goal Fund (3MDG),UN Multi,
World Jewish Relief,NGOs,
European Centre for Disease Prevention and Control,EC,
HOPE’87 – Hundreds of Original Projects for Employment,NGOs,
Farmer's Life Development Agency,NGOs,
Development and Regeneration Association,NGOs,
AMURT/Ananda Marga Universal Relief Team (USA),NGOs,
MOJAZ Foundation,foundations,
Association pour le Progrès et la Défense des Droits des Femmes,other,
"Center for Emergency Aid and Rehabilitation, Inc.",private sector corporations,
Al Najat Charitable Society,NGOs,
Al-Khanjar Foundation,NGOs,
Association for Environment Management and Development,NGOs,
Association pour le Développement de Sila,other,
Centre d'Appui aux Initiatives de Développement Local,other,
Jiyan Foundation for Human Rights,foundations,
Ligue de la Zone Afrique pour la Défense des Droits des Enfants et Elèves,NGOs,
Tajdid Iraq Association for Developing Economy,NGOs,
The United Iraqi Medical Society for Relief and Development,NGOs,
Adventist Development and Relief Agency,NGOs,
Afghanistan Humanitarian Fund,CHF,
AiBi Associazione Amici dei Bambini,NGOs,
Albania,National government,
ARSIS Association for the Social Support of Youth,NGOs,
ASSIST,other,
Associazione Centro Aiuti Volontari Cooperazione Sviluppo Terzo Mondo,NGOs,
Associazione Solidarietà e lo Sviluppo - Confederazione Italiana Agricoltori,NGOs,
Auranitis Life Line for development and training,NGOs,
"Ayuda, Intercambio y Desarrollo",NGOs,
Bolivia,National government,
Bulgaria,National government,
Business Incubation Association in Tripoli,NGOs,
CARE Ecuador,NGOs,
Caritas Athens,NGOs,
Caritas Développement Niger,NGOs,
Caritas Hellas - Caritas Greece,NGOs,
Central African Republic Humanitarian Fund,CHF,
Centro Sviluppo Terzo Mondo Onlus,NGOs,
Colombia Humanitarian Fund,ERF,
Community World Service Asia,NGOs,
Cote d'Ivoire,National government,
Democratic Republic of the Congo Humanitarian Fund,CHF,
Development and Ability Organization,NGOs,
Development and Inter-Church Aid Commission,NGOs,
DIOTIMA Centre of research on Women's Issues,NGOs,
Djibouti,National government,
Dutch Relief Alliance,NGOs,
Ecuador,National government,
EliseCare,NGOs,
Engineers Without Borders,NGOs,
Ente Nazionale Giuseppini del Murialdo,NGOs,
Eritrea,National government,
Ethiopia Humanitarian Fund,ERF,
Federation Handicap International. Direction Aide Humanitaire,NGOs,
Fida,NGOs,
Fiji,National government,
Fonds d’Intervention pour le Développement,NGOs,
Food for the Hungry,NGOs,
"Greece, Government of",DAC government,
Haiti,National government,
Heart to Heart International,NGOs,
Help - Hilfe zur Selbsthilfe e.V.,NGOs,
HSA Humanitarian Support Agency,NGOs,
Intergovernmental Authority on Development,Other multi,
International Humanitarian Relief,NGOs,
International Maize and Wheat Improvement Center,academia/think/research,
INTERSOS Humanitarian Aid Organization,NGOs,
Iraq Humanitarian Fund,ERF,
Iraq,National government,
J/P Haitian Relief Organization,NGOs,
Jordan Humanitarian Fund,ERF,
Jordan paramedic society,NGOs,
Jordan,National government,
Kazakhstan,National government,
Kofi Annan Foundation,Foundation,
KPSM-ERP Integration Centre for Migrant Workers – Ecumenical Refugee Program,NGOs,
Kuwaiti Yemeni Relief,NGOs,
Kyrgyzstan,National government,
La Strada International (LSI),NGOs,
Lebanon Humanitarian Fund,ERF,
Lebanon,National government,
LEGIS,NGOs,
Liberia,National government,
Libraries without Borders,NGOs,
Libya,National government,
"Macedonia, Former Yugoslav Republic of",National government,
Macedonian Red Cross,red cross,
Macedonian Young Lawyers Association (MYLA),NGOs,
Madagascar,National government,
Management and Resources for Community Health,other,
Mauritania,National government,
Mercy Corps,NGOs,
Mozambique,National government,
Myanmar Humanitarian Fund,ERF,
Network for Children's Rights,NGOs,
NGOs | Red Cross Organizations | UN Agencys,other,
NGOs | UN Agencys,other,
NGOs | UN Agencys | Red Cross Organizations,other,
Norwegian Society for Sea Rescue,NGOs,
NOSTOS - Organisation for Social Integration,NGOs,
Nun Kultura,NGOs,
occupied Palestinian territory Humanitarian Fund,ERF,
Order of Malta Lebanon,NGOs,
Pakistan Humanitarian Fund,ERF,
Papua New Guinea,National government,
Partners Turkey,other,
People in Need,NGOs,
Peru,National government,
Philippine Red Cross,red cross,
Philippines,National government,
Ramakrishna Mission,NGOs,
Republic of South Sudan,National government,
Reseau National des droits humains,NGOs,
Roles for Social Change Association,NGOs,
Safadi Foundation,NGOs,
Save the Children,NGOs,
Serbia,National government,
Smile Again Africa Development Organization,NGOs,
Solidar Suisse,NGOs,
Solidarity Now,NGOs,
Somalia Humanitarian Fund,CHF,
South Sudan Humanitarian Fund,CHF,
Sri Lanka,National government,
Sudan Humanitarian Fund,CHF,
Sudan,National government,
Swedish Red Cross,red cross,
Syria Civil Defence,NGOs,
Syria Relief,NGOs,
Syria Relief and Development,NGOs,
Syrian American Medical Society Foundation,NGOs,
Syrian Arab Republic Humanitarian Fund,ERF,
Syrian Arab Republic,National government,
Tajikistan,National government,
Tanganyika Christian Refugee Service,NGOs,
Team Rubicon,NGOs,
TEAR Fund New Zealand | Save the Children,NGOs,
Translators without Borders,NGOs,
Turkey Humanitarian Fund,ERF,
Turkey,National government,
Ukraine,National government,
UN Agencys,UN Multi,
UN Agencys | NGOs,other,
UN Agencys | NGOs | Red Cross Organizations,other,
Un Ponte Per,NGOs,
United Nations Humanitarian Response Depot,UN Multi,
UTOPIA Association,NGOs,
War Child,NGOs,
World Vision Chad,NGOs,
World Vision Niger,NGOs,
Yemen Humanitarian Fund,ERF,
Afghanistan,National government,
Bahamas,National government,
Bangladesh,National government,
Barzani Charity Foundation,NGOs,
Benin,National government,
Bosnia & Herzegovina,National government,
Buddhist Tzu Chi Foundation,NGOs,
Burkina Faso,National government,
Cameroon,National government,
Center for Education and Development,NGOs,
Centro Internazionale per l'Infanzia e la Famiglia,NGOs,
City Center Co.,private sector corporations,
"Congo, Democratic Republic of",National government,
Cultivating New Frontiers in Agriculture,NGOs,
Democratic Republic of the Congo Humanitarian Func,CHF,
Direct Focus Community Aid,NGOs,
Enjaz foundation for development,NGOs,
Ethiopia,National government,
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),EC,
Fondation Humanitaire Internationale AICM Ukraine,NGOs,
"Fundación Alianza por Los Derechos, la Igualdad y la Solidaridad Internacional",NGOs,
Habitat for Humanity Fiji,NGOs,
Health Care and Relief Foundation,other,
Help-Tchad,NGOs,
International Campaign to Abolish Nuclear Weapons (ICAN),NGOs,
KAFA Enough Violence and Exploitation,NGOs,
Khalifa Bin Zayed Al Nahyan Foundation,Foundation,
Kreuz des Südens,NGOs,
Kuwait Foundation for the Advancement of Science,Foundation,
Lanka Jatika Sarvodaya Shramadana Sangamaya,NGOs,
Léger Foundation,Foundation,
Mali,National government,
Norwegian Refugee Council/CARDI,NGOs,
Not specified,other,
Nutrition Action Zimbabwe,NGOs,
Pakistan,National government,
Plan Zimbabwe,NGOs,
Render Effective Aid to Children,other,
Solomon Islands,National government,
Stiftung KARIBU Kinderhilfe,NGOs,
The Coalition Of Humanitarian Relief,NGOs,
The Haven Community Foundation,NGOs,
Tonga,National government,
UN Agencies,UN Multi,
United Iraqi Medical Society for Relief & Development,NGOs,
URBAN REFUGEES,NGOs,
Viet Nam,National government,
World Vision Netherlands,NGOs,
World Vision New Zealand,NGOs,
Yasra Food Company,private sector corporations,
Yemen,National government,
Action Solidaire aux Vulnérables,other,
Actions Concrète pour la Protection de l'Enfance,NGOs,
Afghan Planning Agency,NGOs,
African Initatives for Relief and Development,NGOs,
Al Afia Fund Charity,NGOs,
Al Birr Charity and social services association,other,
Al Taalouf Charity Association,other,
Al-Atta Institution for Social Development and Charity (AISDAC),NGOs,
Al-Bir Wa Al-Ehsan Association in Ras AlAin (Al-Bir Wa Al-Ehsan in Ras AlAin),other,
Alinshat Area Association (Inshaat),NGOs,
Asia Humanitarian Organization,NGOs,
Association Arbre de Vie,other,
Association des jeunes pour le développement communautaire,NGOs,
Caritas Centrafricaine,NGOs,
Centre de Développement Intégral pour l’Enfant Rural,NGOs,
CoAR,NGOs,
Collectif Alpha Ujuvi (CAU),NGOs,
Community Agribusiness Development Agency,NGOs,
Community Initiative for Sustainable Development Agency,other,
Comprehensive Health and Education Forum International,NGOs,
Cooperation for Development Organization,NGOs,
Corporación Infancia y Desarrollo (CID),NGOs,
Darfur Development and Reconstruction Agency (DDRA),NGOs,
Doctors Aid Medical Activities,NGOs,
Frontier Organization for Reforms and Transformation,NGOs,
Fundación Halu Bienestar Humano,NGOs,
Heevie Kurdistan Development,NGOs,
Humanitaires sans Frontières,other,
Humanitarian Organization for Poverty Elimination,NGOs,
Iraqi Al-Mortaqa Foundation for Human Development,NGOs,
Iraqi Health Access Organization,NGOs,
Islamic Charity Association - Aoun for relief and Development,other,
Kamore Development Welfare Organization,NGOs,
Khadija Foundation for Development,other,
Kuwait Patients Helping Fund,NGOs,
LASOONA - Society for Human and Natural Resource Development,NGOs,
Life Makers Meeting Place Organization,NGOs,
Main dans la Main pour l'Assistance Humanitaire et le Développement Durable,NGOs,
