indicator,year,region,n,value
Non-staples (%),1999,Asia,42,38
Non-staples (%),2008,Asia,42,43
Non-staples (%),2011,Asia,15,43
Early childbearing: births by age 18 (%),2001-2015,Asia,32,17
Gender Inequality Index (score),2015,Asia,43,0.368
Female secondary education enrolment rate,2006-2012,Asia,33,74
Physicians,1998-2015,Asia,47,1.113
Nurses and midwives,1994-2015,Asia,47,2.247
Community health workers,1992-2013,Asia,,
Drinking.Basic,2000,Asia,43,70
Drinking.Limited,2000,Asia,33,2
Drinking.Surface water,2000,Asia,43,3
Drinking.Unimproved,2000,Asia,43,14
Drinking.Safely managed,2000,Asia,,
Drinking.Basic,2010,Asia,47,77
Drinking.Limited,2010,Asia,35,3
Drinking.Surface water,2010,Asia,47,2
Drinking.Unimproved,2010,Asia,47,7
Drinking.Safely managed,2010,Asia,,
Drinking.Basic,2015,Asia,46,80
Drinking.Limited,2015,Asia,34,3
Drinking.Surface water,2015,Asia,46,1
Drinking.Unimproved,2015,Asia,46,5
Drinking.Safely managed,2015,Asia,,
Sanitation.Basic,2000,Asia,43,34
Sanitation.Limited,2000,Asia,43,5
Sanitation.Safely managed,2000,Asia,,
Sanitation.Unimproved,2000,Asia,43,18
Sanitation.Open defecation,2000,Asia,43,27
Sanitation.Basic,2010,Asia,47,39
Sanitation.Limited,2010,Asia,47,8
Sanitation.Safely managed,2010,Asia,,
Sanitation.Unimproved,2010,Asia,47,13
Sanitation.Open defecation,2010,Asia,47,19
Sanitation.Basic,2015,Asia,47,40
Sanitation.Limited,2015,Asia,47,9
Sanitation.Safely managed,2015,Asia,,
Sanitation.Unimproved,2015,Asia,47,11
Sanitation.Open defecation,2015,Asia,47,15
Agriculture,1990,Asia,28,8
Education,1990,Asia,28,10
Health,1990,Asia,28,3
Social protection,1990,Asia,25,3
Agriculture,2000,Asia,34,6
Education,2000,Asia,32,11
Health,2000,Asia,32,4
Social protection,2000,Asia,31,6
Agriculture,2010,Asia,28,7
Education,2010,Asia,30,10
Health,2010,Asia,30,4
Social protection,2010,Asia,29,11
Agriculture,2012,Asia,,
Education,2012,Asia,,
Health,2012,Asia,,
Social protection,2012,Asia,,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Asia,47,Many provisions in law
Extent of Constitutional Right to Food,2003,Asia,36,Medium low
Maternity protection (Convention 183),2011,Asia,,
Wheat fortification legislation ,2015,Asia,45,No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Asia,47,No
Bringing people into a shared space for action (%),2017,Asia,,
Ensuring a coherent policy and legal framework (%),2017,Asia,,
Aligning actions around a common results framework (%),2017,Asia,,
Financial tracking and resource mobilization (%),2017,Asia,,
Total weighed score (%),2017,Asia,,
Total population (000),2017,Europe,43,741739.6
Under-5 population (000),2017,Europe,43,39510.42
Urban population (%),2017,Europe,43,74
>65 population (%),2017,Europe,39,18
Under-5 mortality rate (deaths per 1000 live births),2015,Europe,42,6
GDP per capita (PPP),2016,Europe,39,31593
Poverty rates $1.90,2000-2013,Europe,20,1
Poverty rates $3.10,2000-2013,Europe,20,1
Stunting (millions),2016,Europe,,
Wasting (millions),2016,Europe,,
Overweight (millions),2016,Europe,,
Stunting (%),2016,Europe,,
Wasting (%),2016,Europe,,
Overweight (%),2016,Europe,,
Severe wasting (%),2016,Europe,,
Low birth weight (%),2000-2012,Europe,40,7
Adolescent overweight (%),2003-2014,Europe,,
Adolescent obesity (%),2003-2014,Europe,,
"Women of reproductive age, thinness (%)",1994-2015,Europe,,
"Women of reproductive age, short stature (%)",1994-2015,Europe,,
Women of reproductive age with anaemia (000),2016,Europe,40,33739
Women of reproductive age with anaemia (%),2016,Europe,40,20
Vitamin A deficiency in children 6-59 months (%),2013,Europe,,
Population classification of iodine status,1996-2001,Europe,28,Optimal iodine nutrition/mild iodine deficiency
"Raised blood pressure, Male (%)",2015,Europe,40,28
"Raised blood pressure, Female (%)",2015,Europe,40,18
"Raised blood glucose, Male (%)",2014,Europe,40,7
"Raised blood glucose, Female (%)",2014,Europe,40,6
"Raised blood cholesterol, Male (%)",2008,Europe,40,57
"Raised blood cholesterold, Female (%)",2008,Europe,40,55
"Adult overweight and obesity, Male (%)",2014,Europe,40,63
"Adult overweight and obesity, Female (%)",2014,Europe,40,52
"Adult obesity, Male (%)",2014,Europe,40,21
"Adult obesity, Female (%)",2014,Europe,40,23
Stunting.No progress or worsening,2017,Europe,0,
Stunting.On course,2017,Europe,0,
Stunting.Some progress,2017,Europe,1,
Stunting.Insufficient data to make assessment,2017,Europe,42,
Wasting.No progress or worsening,2017,Europe,0,
Wasting.On course,2017,Europe,2,
Wasting.Some progress,2017,Europe,0,
Wasting.Insufficient data to make assessment,2017,Europe,42,
Overweight.Off course,2017,Europe,0,
Overweight.On course,2017,Europe,1,
Overweight.Insufficient data to make assessment,2017,Europe,42,
Anaemia.No progress or worsening,2017,Europe,40,
Anaemia.On course,2017,Europe,,
Anaemia.Some progress,2017,Europe,0,
Anaemia.Insufficient data to make assessment,2017,Europe,3,
EBF.No progress or worsening,2017,Europe,1,
EBF.On course,2017,Europe,0,
EBF.Some progress,2017,Europe,0,
EBF.Insufficient data to make assessment,2017,Europe,42,
"Adult obesity, female.Insufficient data to make assessment",2017,Europe,3,
"Adult obesity, female.Off course",2017,Europe,40,
"Adult obesity, female.On course",2017,Europe,,
"Adult obesity, male.Insufficient data to make assessment",2017,Europe,3,
"Adult obesity, male.Off course",2017,Europe,40,
"Adult obesity, male.On course",2017,Europe,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Europe,3,
"Adult diabetes, female.Off course",2017,Europe,23,
"Adult diabetes, female.On course",2017,Europe,17,
Adult diabetes male.Insufficient data to make assessment,2017,Europe,3,
Adult diabetes male.Off course,2017,Europe,35,
Adult diabetes male.On course,2017,Europe,5,
Antenatal care (4+ visits),2003-2016,Europe,,
Skilled attendant at birth,1998-2016,Europe,32,99
Initiation of breastfeeding within 1 hour after birth,2003-2016,Europe,,
Continued breastfeeding at 1 year,1995-2016,Europe,,
Unmet need for family planning,1993-2016,Europe,,
"Severe acute malnutrition, geographic coverage",2012,Europe,,
"Vitamin A supplementation, full coverage",2014,Europe,,
Children under 5 with diarrhoea receiving ORS,2000-2016,Europe,,
Immunization coverage (DTP3),2016,Europe,42,91
Iodized salt consumption,2000-2013,Europe,,
Exclusive breastfeeding 0-5 months (%),1999-2015,Europe,,
Minimum acceptable diet 6-23 months (%),2010-2016,Europe,,
Minimum dietary diversity 6-23 months (%),2010-2016,Europe,,
Undernourishment (%),1990,Europe,,
Undernourishment (%),1999,Europe,,
Undernourishment (%),2009,Europe,,
Undernourishment (%),2014,Europe,,
Fruit and veg (grams),1990,Europe,22,597
Fruit and veg (grams),2000,Europe,37,537
Fruit and veg (grams),2010,Europe,39,558
Fruit and veg (grams),2013,Europe,39,575
Non-staples (%),1990,Europe,33,64
Non-staples (%),1999,Europe,37,64
Non-staples (%),2008,Europe,39,66
Non-staples (%),2011,Europe,,
Early childbearing: births by age 18 (%),2001-2015,Europe,,
Gender Inequality Index (score),2015,Europe,39,0.153
Female secondary education enrolment rate,2006-2012,Europe,39,100
Physicians,1998-2015,Europe,42,3.435
Nurses and midwives,1994-2015,Europe,42,7.891
Community health workers,1992-2013,Europe,,
Drinking.Basic,2000,Europe,41,11
Drinking.Limited,2000,Europe,,
Drinking.Surface water,2000,Europe,41,0
Drinking.Unimproved,2000,Europe,41,1
Drinking.Safely managed,2000,Europe,40,87
Drinking.Basic,2010,Europe,43,8
Drinking.Limited,2010,Europe,,
Drinking.Surface water,2010,Europe,43,0
Drinking.Unimproved,2010,Europe,43,1
Drinking.Safely managed,2010,Europe,42,90
Drinking.Basic,2015,Europe,43,8
Drinking.Limited,2015,Europe,,
Drinking.Surface water,2015,Europe,43,0
Drinking.Unimproved,2015,Europe,43,1
Drinking.Safely managed,2015,Europe,42,91
Sanitation.Basic,2000,Europe,40,34
Sanitation.Limited,2000,Europe,40,1
Sanitation.Safely managed,2000,Europe,36,85
Sanitation.Unimproved,2000,Europe,40,5
Sanitation.Open defecation,2000,Europe,40,0
Sanitation.Basic,2010,Europe,43,32
Sanitation.Limited,2010,Europe,43,1
Sanitation.Safely managed,2010,Europe,38,86
Sanitation.Unimproved,2010,Europe,43,3
Sanitation.Open defecation,2010,Europe,43,0
Sanitation.Basic,2015,Europe,43,32
Sanitation.Limited,2015,Europe,43,1
Sanitation.Safely managed,2015,Europe,38,87
Sanitation.Unimproved,2015,Europe,43,3
Sanitation.Open defecation,2015,Europe,43,0
Agriculture,1990,Europe,,
Education,1990,Europe,20,8
Health,1990,Europe,,
Social protection,1990,Europe,,
Agriculture,2000,Europe,34,2
Education,2000,Europe,34,8
Health,2000,Europe,34,9
Social protection,2000,Europe,33,25
Agriculture,2010,Europe,34,1
Education,2010,Europe,36,9
Health,2010,Europe,36,12
Social protection,2010,Europe,35,36
Agriculture,2012,Europe,33,1
Education,2012,Europe,34,9
Health,2012,Europe,34,12
Social protection,2012,Europe,33,36
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Europe,43,Few provisions in law
Extent of Constitutional Right to Food,2003,Europe,37,Medium
Maternity protection (Convention 183),2011,Europe,38,Yes
Wheat fortification legislation ,2015,Europe,42,No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Europe,42,Yes
Bringing people into a shared space for action (%),2017,Europe,,
Ensuring a coherent policy and legal framework (%),2017,Europe,,
Aligning actions around a common results framework (%),2017,Europe,,
Financial tracking and resource mobilization (%),2017,Europe,,
Total weighed score (%),2017,Europe,,
Total population (000),2017,LAC,33,640225.5
Under-5 population (000),2017,LAC,33,53054.82
Urban population (%),2017,LAC,33,80
>65 population (%),2017,LAC,31,8
Under-5 mortality rate (deaths per 1000 live births),2015,LAC,33,17
GDP per capita (PPP),2016,LAC,31,14126
Poverty rates $1.90,2000-2013,LAC,20,6
Poverty rates $3.10,2000-2013,LAC,20,12
Stunting (millions),2016,LAC,26,5.9
Wasting (millions),2016,LAC,26,0.7
Overweight (millions),2016,LAC,25,4
Stunting (%),2016,LAC,26,11
Wasting (%),2016,LAC,26,1
Overweight (%),2016,LAC,25,7
Severe wasting (%),2016,LAC,26,0.3
Low birth weight (%),2000-2012,LAC,33,9
Adolescent overweight (%),2003-2014,LAC,,
Adolescent obesity (%),2003-2014,LAC,,
"Women of reproductive age, thinness (%)",1994-2015,LAC,,
"Women of reproductive age, short stature (%)",1994-2015,LAC,,
Women of reproductive age with anaemia (000),2016,LAC,32,10567
Women of reproductive age with anaemia (%),2016,LAC,32,22
Vitamin A deficiency in children 6-59 months (%),2013,LAC,32,11
Population classification of iodine status,1996-2001,LAC,20,Risk of iodine-induced hyperthyroidism within 5-10 years following introduction of iodized salt in susceptible groups
"Raised blood pressure, Male (%)",2015,LAC,33,24
"Raised blood pressure, Female (%)",2015,LAC,33,18
"Raised blood glucose, Male (%)",2014,LAC,33,9
"Raised blood glucose, Female (%)",2014,LAC,33,10
"Raised blood cholesterol, Male (%)",2008,LAC,33,42
"Raised blood cholesterold, Female (%)",2008,LAC,33,45
"Adult overweight and obesity, Male (%)",2014,LAC,33,57
"Adult overweight and obesity, Female (%)",2014,LAC,33,58
"Adult obesity, Male (%)",2014,LAC,33,19
"Adult obesity, Female (%)",2014,LAC,33,27
Stunting.No progress or worsening,2017,LAC,0,
Stunting.On course,2017,LAC,5,
Stunting.Some progress,2017,LAC,2,
Stunting.Insufficient data to make assessment,2017,LAC,26,
Wasting.No progress or worsening,2017,LAC,1,
Wasting.On course,2017,LAC,7,
Wasting.Some progress,2017,LAC,0,
Wasting.Insufficient data to make assessment,2017,LAC,27,
Overweight.Off course,2017,LAC,1,
Overweight.On course,2017,LAC,5,
Overweight.Insufficient data to make assessment,2017,LAC,27,
Anaemia.No progress or worsening,2017,LAC,15,
Anaemia.On course,2017,LAC,,
Anaemia.Some progress,2017,LAC,17,
Anaemia.Insufficient data to make assessment,2017,LAC,1,
EBF.No progress or worsening,2017,LAC,3,
EBF.On course,2017,LAC,1,
EBF.Some progress,2017,LAC,2,
EBF.Insufficient data to make assessment,2017,LAC,27,
"Adult obesity, female.Insufficient data to make assessment",2017,LAC,0,
"Adult obesity, female.Off course",2017,LAC,33,
"Adult obesity, female.On course",2017,LAC,,
"Adult obesity, male.Insufficient data to make assessment",2017,LAC,0,
"Adult obesity, male.Off course",2017,LAC,33,
"Adult obesity, male.On course",2017,LAC,,
"Adult diabetes, female.Insufficient data to make assessment",2017,LAC,0,
"Adult diabetes, female.Off course",2017,LAC,33,
"Adult diabetes, female.On course",2017,LAC,0,
Adult diabetes male.Insufficient data to make assessment,2017,LAC,0,
Adult diabetes male.Off course,2017,LAC,33,
Adult diabetes male.On course,2017,LAC,0,
Antenatal care (4+ visits),2003-2016,LAC,29,87
Skilled attendant at birth,1998-2016,LAC,33,95
Initiation of breastfeeding within 1 hour after birth,2003-2016,LAC,25,47
Continued breastfeeding at 1 year,1995-2016,LAC,23,51
Unmet need for family planning,1993-2016,LAC,23,10
"Severe acute malnutrition, geographic coverage",2012,LAC,,
"Vitamin A supplementation, full coverage",2014,LAC,,
Children under 5 with diarrhoea receiving ORS,2000-2016,LAC,20,48
Immunization coverage (DTP3),2016,LAC,33,90
Iodized salt consumption,2000-2013,LAC,12,90
Exclusive breastfeeding 0-5 months (%),1999-2015,LAC,23,34
Minimum acceptable diet 6-23 months (%),2010-2016,LAC,,
Minimum dietary diversity 6-23 months (%),2010-2016,LAC,,
Undernourishment (%),1990,LAC,25,16
Undernourishment (%),1999,LAC,22,16
Undernourishment (%),2009,LAC,,
Undernourishment (%),2014,LAC,,
Fruit and veg (grams),1990,LAC,33,350
Fruit and veg (grams),2000,LAC,33,429
Fruit and veg (grams),2010,LAC,33,448
Fruit and veg (grams),2013,LAC,33,423
Non-staples (%),1990,LAC,29,57
Non-staples (%),1999,LAC,29,59
Non-staples (%),2008,LAC,29,60
Non-staples (%),2011,LAC,11,61
Early childbearing: births by age 18 (%),2001-2015,LAC,17,18
Gender Inequality Index (score),2015,LAC,28,0.397
Female secondary education enrolment rate,2006-2012,LAC,30,95
Physicians,1998-2015,LAC,33,1.92
Nurses and midwives,1994-2015,LAC,33,3.545
Community health workers,1992-2013,LAC,,
Drinking.Basic,2000,LAC,33,62
Drinking.Limited,2000,LAC,25,0.8
Drinking.Surface water,2000,LAC,33,3
Drinking.Unimproved,2000,LAC,33,6
Drinking.Safely managed,2000,LAC,,
Drinking.Basic,2010,LAC,33,64
Drinking.Limited,2010,LAC,25,1
Drinking.Surface water,2010,LAC,33,2
Drinking.Unimproved,2010,LAC,33,3
Drinking.Safely managed,2010,LAC,,
Drinking.Basic,2015,LAC,32,65
Drinking.Limited,2015,LAC,25,1
Drinking.Surface water,2015,LAC,32,1
Drinking.Unimproved,2015,LAC,32,2
Drinking.Safely managed,2015,LAC,,
Sanitation.Basic,2000,LAC,33,54
Sanitation.Limited,2000,LAC,33,4
Sanitation.Safely managed,2000,LAC,11,24
Sanitation.Unimproved,2000,LAC,33,11
Sanitation.Open defecation,2000,LAC,33,10
Sanitation.Basic,2010,LAC,33,54
Sanitation.Limited,2010,LAC,33,5
Sanitation.Safely managed,2010,LAC,11,32
Sanitation.Unimproved,2010,LAC,33,8
Sanitation.Open defecation,2010,LAC,33,5
Sanitation.Basic,2015,LAC,32,53
Sanitation.Limited,2015,LAC,32,5
Sanitation.Safely managed,2015,LAC,11,37
Sanitation.Unimproved,2015,LAC,32,6
Sanitation.Open defecation,2015,LAC,32,3
Agriculture,1990,LAC,18,3
Education,1990,LAC,18,10
Health,1990,LAC,18,4
Social protection,1990,LAC,18,9
Agriculture,2000,LAC,19,3
Education,2000,LAC,19,16
Health,2000,LAC,19,8
Social protection,2000,LAC,19,25
Agriculture,2010,LAC,12,2
Education,2010,LAC,12,10
Health,2010,LAC,12,7
Social protection,2010,LAC,12,34
Agriculture,2012,LAC,,
Education,2012,LAC,,
Health,2012,LAC,,
Social protection,2012,LAC,,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,LAC,33,Full/Many provisions in law
Extent of Constitutional Right to Food,2003,LAC,,
Maternity protection (Convention 183),2011,LAC,32,Partial
Wheat fortification legislation ,2015,LAC,33,Mandatory
